id;businessId;username;rating;comment
1;1;JaneDoe101;4;Great coffee and cozy ambiance. Perfect for a morning break.
2;2;AdventureLover;5;Excellent range of products for all outdoor adventures. Highly recommend!
3;3;PetalPower;5;Beautiful arrangements and friendly service. Made my day!
4;4;Bookworm23;3;Good collection of books but the store could use better lighting.
5;5;Fashionista;4;Trendy clothes and helpful staff. Will visit again.
6;6;BreadLover;5;The best bakery in town. Fresh and delicious every time!
7;7;Shopaholic;4;Great selection of groceries. Could use more organic options.
8;8;Foodie;5;Amazing delicacies and fantastic service. A hidden gem!
9;9;TechGuru;3;Good range of electronics, but the prices are a bit high.
10;10;ArtLover88;4;Beautiful art pieces and a serene environment. Worth a visit.
11;11;Reader123;5;Excellent bookstore with a vast collection. Love this place!
12;12;GroceryGuru;4;Convenient location and friendly staff. Could be better stocked.
13;13;CafeChill;4;Nice café with great coffee. A bit crowded though.
14;14;BakeryFan;4;Delicious pastries and bread. A bit pricey but worth it.
15;15;FashionFreak;5;Fantastic clothing store with unique items. Highly recommend!
16;16;GiftGiver;3;Nice selection of gifts, but the staff could be more attentive.
17;17;Handyman;4;Good range of hardware products and reasonable prices.
18;18;GadgetGeek;5;Amazing electronics store with knowledgeable staff.
19;19;FlowerFanatic;4;Lovely flower arrangements and prompt service.
20;20;ToyCollector;5;Great toy store with a wide variety of options. My kid loves it!
21;1;john_doe_87;5;Amazing coffee and friendly staff. A great place to start the day!
22;10;art_lover_22;4;The art gallery had a wonderful collection. Could use better lighting though.
23;23;cafe_addict_45;2;The coffee was cold, and the service was slow. Not coming back.
24;37;shopper_99;3;Decent selection but everything felt overpriced.
25;5;fashionista_89;4;Great boutique with unique clothing. A bit on the pricey side.
26;40;wino_34;5;Fantastic selection of wines. The staff is very knowledgeable.
27;15;trendsetter45;4;Trendy fashion with good quality. Highly recommend.
28;72;bookworm_54;5;Cozy bookstore with a great collection. Perfect for book lovers.
29;45;nature_lover_23;4;Good range of outdoor equipment. Staff could be more helpful.
30;31;foodie_adventurer;5;Delicious food and a warm ambiance. Absolutely loved it!
31;2;hiker_72;4;Quality sports equipment. Wish they had more variety.
32;17;handyman_56;3;Decent hardware store but lacks some essentials.
33;83;tech_geek_88;5;Fantastic selection of the latest tech gadgets. Highly recommend.
34;24;market_goer_78;4;Good variety in the market but can get crowded.
35;8;foodie_frank;5;Delicious delicacies that you can't find anywhere else!
36;62;shopper_lucy;3;Mediocre shopping experience. Nothing stood out.
37;88;foodie_sara;5;Amazing food and great atmosphere at this restaurant!
38;58;fashion_guru_21;2;Not very trendy and quite overpriced.
39;100;auto_guy;4;Good auto services, but the waiting time was long.
40;50;fun_seeker;5;Best waterpark experience ever! So much fun!
41;3;FlowerLover92;5;Greifensee Flowers has the most exotic blooms I've ever seen. Perfect for any occasion!
42;5;Fashionista101;4;Le Paquier Boutique has a great selection of clothes, but I wish they had more sizes.
43;7;HealthyEater;3;Surrein Groceries has fresh produce, but the prices are a bit high.
44;12;GroceryGuru;4;Engelberg Groceries is a nice store with friendly staff. I found everything I needed.
45;14;BakeryBuff;5;Saxon Bakery's pastries are absolutely delicious! Highly recommend the croissants.
46;16;GiftGiver77;4;Sta. Maria Val Müstair Gifts has unique items that are perfect for gifts.
47;18;TechGeek;2;Sudern Electronics has decent products, but the customer service needs improvement.
48;20;ToyLover;5;Gadmen Toys has an amazing selection of toys for kids of all ages. My children loved it.
49;23;CoffeeLover;4;Belpberg Cafe has great coffee and a cozy atmosphere. Perfect for a relaxing afternoon.
50;27;BloomFan;5;Ried-Brig Florist created a stunning bouquet for my anniversary. Will definitely return!
51;29;ArtEnthusiast;3;Furna Art Gallery has beautiful art, but I found the prices to be on the higher side.
52;32;SpaLover01;4;Zurzach Spa is a fantastic place to unwind. The massages are heavenly!
53;34;OutdoorFanatic;5;Steg Sports has everything you need for your outdoor adventures. Highly recommend!
54;38;DIYMaster;4;Ramboden Hardware has a wide range of tools and supplies. Very convenient!
55;41;ClearVision;3;Optical Oasis has a good range of glasses, but the wait time for fitting was long.
56;43;CarLover;2;Mountain Motors' service was subpar. Had to wait for hours for a simple repair.
57;46;CafeAddict;4;Oasis Cafe has a nice ambiance and delicious coffee. A great spot to meet friends.
58;50;WaterFun;5;Water World Wonders is an exciting place for families. The kids had a blast!
59;52;GroceryGirl;4;Paradies Mart is well-stocked with a variety of items. Clean and organized store.
60;54;BreadLover;5;Lignieres Bakery's bread is to die for. Fresh and tasty!
61;1;CoffeeLover72;5;Amazing coffee and a cozy atmosphere!
62;2;AdrenalineJunkie;4;Great selection of climbing gear, but the prices are a bit high.
63;3;FloralFanatic;5;Beautiful flowers and very friendly staff!
64;4;BookwormBetsy;4;A nice collection of books, but I wish they had a bigger sci-fi section.
65;5;Fashionista88;5;Unique clothes and accessories, love this boutique!
66;6;BreadLover;5;The best bakery in town. Their croissants are to die for!
67;7;SuperSaver;3;Good selection but the prices are average.
68;8;Foodie45;4;Great variety of gourmet items, but a bit pricey.
69;9;TechGuru;5;Excellent service and knowledgeable staff!
70;10;ArtLover;4;A beautiful art gallery with impressive collections.
71;11;BookNerd;5;A hidden gem for book lovers!
72;12;GroceryGuy;3;Decent selection, but I'd like to see more organic products.
73;13;CafeConnoisseur;4;Lovely café with a great ambiance.
74;14;PastryPerfectionist;5;Delicious pastries and friendly staff!
75;15;StyleSeeker;4;Fashion-forward clothes, but sometimes hard to find what I need.
76;16;GiftGiver;5;Perfect place to buy unique gifts!
77;17;DIYDynamo;3;Good tools, but the customer service could be improved.
78;18;TechTinkerer;4;Great selection of electronics, but the prices are a bit high.
79;19;FlowerFan;5;Beautiful arrangements and very fresh flowers!
80;20;ToyTester;4;A good variety of toys, but some are quite expensive.
81;1;CafeLover1987;5;Absolutely the perfect spot for morning coffee. The ambiance is cozy and the coffee is top-notch.
82;2;MountainJunkie;4;Great selection of gear for all outdoor activities. Prices are a bit high, but the quality is fantastic.
83;3;FlowerFan;5;Such a beautiful selection of flowers. The bouquets are always fresh and artistically arranged.
84;4;BookWorm1982;4;A lovely bookstore with a great collection of novels. Staff is friendly and helpful.
85;5;Fashionista;3;Decent collection of clothing, but the prices are not very competitive.
86;6;BreadLover123;5;Best bakery in town! Their pastries are to die for.
87;7;GroceryGuru;4;This grocery store has a good range of products, but it can get very crowded.
88;8;DelicacyLover;5;Amazing selection of delicacies. The cheese and wine selection is superb.
89;9;TechSavvy;4;Good place for electronics. The staff is knowledgeable and helpful.
90;10;ArtLover;5;A wonderful art gallery showcasing local artists. A must-visit for art enthusiasts.
91;11;BookBuff;3;Nice little bookstore but the collection is quite limited.
92;12;HealthyEater;4;Great variety of fresh produce. Prices are fair and staff is friendly.
93;13;CoffeeAddict;5;Best place for a relaxing coffee break. Their pastries are also very tasty.
94;14;PastryPro;4;Lovely bakery with excellent bread. They close a bit early though.
95;15;FashionForward;4;Trendy fashion store with a good range of clothing items. Prices are reasonable.
96;16;GiftHunter;5;A charming gift shop with unique and interesting items. Perfect for finding something special.
97;17;DIYFan;3;Decent hardware store but can be a bit better stocked.
98;18;TechNerd;4;Wide variety of electronics. Prices are a bit high, but they have a good return policy.
99;19;GardenerGal;5;Excellent selection of flowers and plants. Their customer service is fantastic.
100;20;ToyCollector;4;Great toy store with a wide range of products. Perfect for finding gifts for kids.
101;1;CafeLover92;5;Sunrise Cafe is my favorite place to unwind with a cup of coffee. The ambiance is fantastic!
102;2;MountainMan;4;Great variety of sports equipment at Mountain Gear. Perfect for all my hiking needs.
103;3;FlowerChild;5;Greifensee Flowers has the freshest blooms in town. Always a pleasure shopping here!
104;4;BookWorm78;4;Alpine Books has an excellent collection of rare books. A book lover's paradise!
105;5;Fashionista;3;Le Paquier Boutique offers trendy clothing, but the prices are a bit steep.
106;6;BreadLover;5;The baked goods at Beinwil Bakery are simply heavenly. Fresh and delicious!
107;7;GroceryGuru;4;Surrein Groceries has a great selection of products. Convenient for everyday shopping.
108;8;Foodie;5;Schmitten Delicatessen offers high-quality gourmet foods. A true culinary delight!
109;9;TechSavvy;4;Vermol's Electronics has a wide range of gadgets. Helpful staff and good prices.
110;10;ArtLover;3;Meiringen Art Gallery has some interesting pieces, but the gallery is a bit small.
111;11;BookReader;4;Habkern Books is a cozy little bookstore with a great selection. Love it!
112;12;GroceryGiant;5;Engelberg Groceries is always well-stocked and clean. My go-to grocery store.
113;13;CafeAddict;4;Hinterrhein Café serves excellent coffee, but the seating area could be more spacious.
114;14;PastryPal;5;Saxon Bakery's pastries are to die for! Highly recommend the croissants.
115;15;FashionGuru;4;Bürglen Fashion offers beautiful clothing. A bit pricey but worth it for the quality.
116;16;GiftHunter;5;Sta. Maria Val Müstair Gifts has unique items. Perfect for finding special gifts.
117;17;DIYDude;4;Frasco Hardware has a good range of tools. Staff is knowledgeable and helpful.
118;18;GadgetGal;5;Sudern Electronics Store has everything you need! Great customer service.
119;19;FlowerFan;4;Schongau Flowers has a lovely selection. Perfect for every occasion.
120;20;ToyLover;5;Gadmen Toys is a wonderland for kids. Lots of fun and educational toys.
121;1;happy_coffee_lover;5;The best coffee in town! Friendly staff and cozy atmosphere.
122;2;mountain_hiker;4;Great selection of hiking gear. Prices could be better.
123;3;flower_fanatic;5;Beautiful arrangements and excellent customer service.
124;4;bookworm_123;4;Lovely bookstore with a wide range of books. A bit pricey though.
125;5;fashionista_21;5;Unique clothing items and very helpful staff!
126;6;bread_buddy;5;Freshly baked bread and pastries. Highly recommended!
127;7;shopaholic;4;Good variety of groceries. Sometimes a bit crowded.
128;8;foodie_delight;5;Fantastic selection of gourmet foods. Will visit again!
129;9;tech_savvy;3;Decent electronics store. Could improve their product range.
130;10;art_lover;5;Amazing art gallery with stunning pieces. A must-visit!
131;11;literature_fan;4;Great selection of books, but the place is a bit small.
132;12;grocery_guru;4;Nice and clean grocery store with friendly staff.
133;13;coffee_craze;5;Delightful café with great coffee and snacks.
134;14;bake_me_happy;4;Tasty baked goods, but sometimes runs out of popular items.
135;15;fashion_forward;5;Trendy clothing and excellent customer service.
136;16;gift_enthusiast;5;Perfect place to find unique gifts. Highly recommend!
137;17;diy_lover;3;Good variety of hardware, but some items are overpriced.
138;18;tech_freak;4;Nice electronics store with friendly staff. Could improve stock.
139;19;flower_power;5;Gorgeous flowers and excellent service. Will be back!
140;20;toy_hunter;5;Amazing toy store with a great selection. My kids love it!
141;1;john_doe;5;The best café in Geneva! Excellent service and delicious pastries.
142;2;mountain_lover;4;Great selection of equipment for mountain adventures. Staff is knowledgeable and friendly.
143;3;flower_fanatic;5;Beautiful arrangements and friendly service. Highly recommend!
144;4;bookworm23;4;Nice collection of books with a cozy atmosphere. Could use more seating.
145;5;fashionista91;4;Trendy and chic clothing. A bit pricey but worth it.
146;6;bread_lover;5;Amazing bread and pastries. Friendly staff and cozy ambiance.
147;7;shopper98;4;Good variety of groceries. Prices are reasonable.
148;8;foodie101;5;Excellent selection of gourmet food items. Loved the cheeses!
149;9;tech_guy;3;Decent selection of electronics. Service could be better.
150;10;art_enthusiast;5;Beautiful art pieces and a serene environment. A must-visit for art lovers.
151;11;booklover;4;Great variety of books. Friendly staff. A bit crowded on weekends.
152;12;grocery_gal;5;Wide selection of fresh produce. Very clean and organized.
153;13;cafe_addict;5;Charming café with delicious coffee and pastries.
154;14;baker_buddy;4;Great bakery with a limited menu. The croissants are to die for!
155;15;fashion_fan;5;Stylish clothing and very helpful staff. Loved the collection!
156;16;gift_hunter;4;Unique gift items, perfect for special occasions. Wish there were more options.
157;17;diy_guy;3;Decent selection of tools. Prices are on the higher end.
158;18;tech_wiz;4;Good variety of electronics. Knowledgeable staff.
159;19;plant_lover;5;Beautiful flowers and arrangements. Reasonably priced.
160;20;toy_enthusiast;4;Great selection of toys. Friendly staff and reasonable prices.
161;1;AliceLovesCoffee;5;Sunrise Cafe is my favorite spot in Geneva! Great coffee and pastries.
162;2;MountainClimber99;4;Mountain Gear has quality equipment, but a bit pricey.
163;3;FlowerFan123;5;Amazing flower arrangements from Greifensee Flowers. Highly recommend!
164;4;BookWorm85;5;Alpine Books has a fantastic collection of books. Excellent service!
165;5;Fashionista;4;Le Paquier Boutique has stylish clothing. Wish they had more variety.
166;6;BreadLover;5;Best bakery in Solothurn! Beinwil Bakery's bread is always fresh.
167;7;GroceryGuru;3;Surrein Groceries has the essentials but limited selection.
168;8;Foodie66;4;Schmitten Delicatessen offers great gourmet products.
169;9;TechSavvy;5;Vermol's Electronics has the latest gadgets at good prices.
170;10;ArtLover;4;Meiringen Art Gallery showcases beautiful art pieces.
171;11;BookAddict;5;Habkern Books has a cozy atmosphere and a great selection of books.
172;12;Shopper01;3;Engelberg Groceries is okay, but not my favorite store.
173;13;CafeLover;5;Hinterrhein Café serves the best coffee in Graubunden.
174;14;BakeryBliss;4;Saxon Bakery has great baked goods, though a bit pricey.
175;15;FashionIcon;5;Bürglen Fashion has trendy clothes and excellent customer service.
176;16;GiftGiver;4;Sta. Maria Val Müstair Gifts has unique and charming gifts.
177;17;DIYGuy;5;Frasco Hardware has everything I need for my projects.
178;18;GadgetGeek;4;Sudern Electronics has a good selection of electronics.
179;19;FlowerLover;5;Schongau Flowers creates beautiful floral arrangements!
180;20;ToyFanatic;5;Gadmen Toys has the best selection of toys for kids.
181;1;happyDiner2023;5;Great coffee and pastries! The ambiance is very relaxing.
182;2;mountainMan;4;Good selection of gear but a bit pricey.
183;3;flowerLover;5;Beautiful fresh flowers and lovely arrangements!
184;4;bookWorm;4;Nice collection of books but limited seating area.
185;5;fashionista2023;3;Trendy clothes but the customer service could be better.
186;6;breadLover;5;Best bakery in town! Their croissants are to die for.
187;7;groceryGuru;4;Good selection of groceries but a bit busy during weekends.
188;8;foodie2023;5;Amazing deli with high-quality products. Highly recommend!
189;9;techSavvy;3;Discount electronics but sometimes they don't have the latest models.
190;10;artLover;4;Beautiful gallery with some unique pieces. Worth a visit.
191;11;chapterOne;5;Cozy place with a great selection of books. Will come back.
192;12;groceryGal;4;Fresh produce and friendly staff but a bit pricey.
193;13;cafeLover33;5;Lovely little café with great coffee and cakes!
194;14;breadFanatic;4;Charming bakery with delicious bread, but a bit hidden.
195;15;shopaholic;3;Decent fashion collection but sizes are limited.
196;16;giftGiver;5;Fantastic gift shop with unique items. Perfect for finding special presents.
197;17;toolTime;4;Well-stocked hardware store, but some items are expensive.
198;18;techEnthusiast;4;Good selection of electronics but limited brands.
199;19;flowerFan;5;Beautiful flower arrangements and friendly service.
200;20;toyLover;3;Nice selection of toys but the store is a bit cramped.
201;1;CafeLover42;5;The best coffee in town! Sunrise Cafe never disappoints.
202;2;MountainMan88;4;Great selection of gear, although a bit pricey.
203;3;FlowerFan;5;Beautiful arrangements and super friendly staff at Greifensee Flowers!
204;4;Bookworm;3;Alpine Books had a good collection but it was a bit disorganized.
205;5;Shopaholic24;4;Le Paquier Boutique has cute clothes, but some items were out of stock.
